constellation name,star name,nomenclature name,equinox,right ascension hours,right ascension minutes,right ascension seconds,declination degrees,declination minutes,declination seconds,motion in right ascension,motion in declination,radial velocity,annual parallax,magnitude,Durchmusterung zone 1900,Durchmusterung number,
Aquila,Bered,12Aql,ICRS,19,1,40.8272,-5,44,20.814,-0.161,-3.973,-43.9,0.02195,4.027,0,0,
Aquila,Altair,alAql,ICRS,19,50,46.999,8,52,5.959,3.579133333,38.557,-26.1,0.19445,0.77,8,4236,
Aquila,Alshain,beAql,ICRS,19,55,18.7934,6,24,24.348,0.309,-48.135,-39.8,0.07295,3.71,6,4357,
Aquila,Al Mizan,deAql,ICRS,19,25,29.9005,3,6,53.191,1.687133333,8.067,-30.1,0.06505,3.36,2,3879,
Aquila,Deneb el Okab Borealis,epAql,ICRS,18,59,37.3574,15,4,5.873,-0.3512,-7.381,-48,0.02122,4.02,14,3736,
Aquila,Bazak,etAql,ICRS,19,52,28.3679,1,0,20.378,0.046266667,-0.73,-14.8,0.00278,3.9,0,4337,
Aquila,Tarazed,gaAql,ICRS,19,46,15.5795,10,36,47.74,0.1048,-0.308,-2.1,0.00708,2.72,10,4043,
Aquila,Al Thalimaim Posterior,ioAql,ICRS,19,36,43.2777,-1,17,11.763,0.0126,-2.075,-21.4,0.01061,4.36,-1,3782,
Aquila,,kaAql,ICRS,19,36,53.4493,-7,1,38.918,0.0086,-0.269,-19.4,0.00224,4.95,-7,5006,
Aquila,Al Thalimaim Anterior,laAql,ICRS,19,6,14.9384,-4,52,57.195,-0.1312,-9.037,-12,0.02605,3.42,-5,4876,
Aquila,,muAql,ICRS,19,34,5.3529,7,22,44.189,1.4184,-15.539,-23.9,0.0295,4.45,7,4132,
Aquila,,ome-1Aql,ICRS,19,17,48.9986,11,35,43.519,0.001666667,1.262,-14.3,0.00772,5.28,11,3790,
Aquila,,rhAql,ICRS,20,14,16.6193,15,11,51.391,0.371266667,5.798,-23,0.02124,4.95,14,4227,
Aquila,,taAql,ICRS,20,4,8.3152,7,16,40.677,0.094933333,1.297,-28,0.00619,5.65,6,4416,
Aquila,Tseen Foo,thAql,ICRS,20,11,18.2855,0,49,17.26,0.236533333,0.605,-27.3,0.01136,3.23,-1,3911,
Aquila,Deneb el Okab Australis,zeAql,ICRS,19,5,24.6082,13,51,48.521,-0.046933333,-9.531,-25,0.03918,2.99,13,3899,
Aquila,Dheneb,zeAql,ICRS,19,5,24.6082,13,51,48.521,-0.046933333,-9.531,-25,0.03918,2.99,13,3899,
Ara,Ara,alAra,ICRS,17,31,50.4933,-49,52,34.121,-0.208466667,-6.715,0,0.01346,2.95,-49,11511,
Ara,,beAra,ICRS,17,25,17.9887,-55,31,47.583,-0.054866667,-2.471,-0.4,0.00541,2.85,-55,8100,
Ara,,deAra,ICRS,17,31,5.913,-60,41,1.853,-0.357666667,-9.937,10,0.01742,3.62,-60,6842,
Ara,,ep-1Ara,ICRS,16,59,35.0477,-53,9,37.576,0.007466667,2.153,23.1,0.01072,4.06,-52,10372,
Ara,,etAra,ICRS,16,49,47.1563,-59,2,28.961,0.263933333,-2.528,9,0.01041,3.76,-58,6906,
Ara,,muAra,ICRS,17,44,8.7029,-51,50,2.591,-0.1004,-19.117,-9,0.06546,5.15,-51,11094,
Ara,,thAra,ICRS,18,6,37.8711,-50,5,29.318,-0.0562,-0.926,3.4,0.00322,3.66,-50,11720,
Ara,,zeAra,ICRS,16,58,37.2117,-55,59,24.507,-0.122066667,-3.529,-6,0.00568,3.13,-55,7766,
Aries,,41Ari,ICRS,2,49,59.0323,27,15,37.825,0.436466667,-11.659,4,0.02045,3.606,20,543,
Aries,Hamal,alAri,ICRS,2,7,10.4071,23,27,44.723,1.271533333,-14.577,-14.2,0.04948,2,22,306,
Aries,Sheratan,beAri,ICRS,1,54,38.4091,20,48,28.926,0.642133333,-10.88,-1.9,0.05474,2.64,20,306,
Aries,Botein,deAri,ICRS,3,11,37.7655,19,43,36.039,1.030733333,-0.839,24.7,0.01944,4.35,19,477,
Aries,Mesarthim,gaAri,ICRS,1,53,31.8143,19,17,37.866,0.529533333,-9.91,79.43,0.01596,3.88,18,243,
